Scene ID,Image ID,Dialogue,,,,
Scene 3,scene3_image9,"डीनो (एक स्क्रीन पर दिखाई देते हुए): ""आपको जल्दी से इसकी सुरक्षा को बायपास करना होगा। यह अनुकूलन कर रहा है।""",,,,
Scene 3,scene3_image10,"हुसैन (चिंतित): ""हम अब और गहराई में हैं। वापस लौटने का कोई रास्ता नहीं है।""",,,,
Scene 3,scene3_image11,"पृष्ठभूमि में, एक छायादार आकृति संभवतः डॉपलगैंगर टीम को काम करते हुए देख रहा है।",,,,
Scene 3,scene3_image12,"अनूप (दृढ़): ""हमें अलग-अलग होना होगा। मैं लैब की जांच करूंगा।""",,,,
Scene 4,scene4_image1,"अनूप (दृढ़): ""हमें अलग-अलग होना होगा। मैं लैब की जांच करूंगा।""",,,,
Scene 4,scene4_image2,"अरविंद नक्शे और उपकरणों की समीक्षा करता है, उसकी भौंहें एकाग्रता में सिकुड़ी हुई हैं।",,,,
Scene 4,scene4_image3,"हुसैन (धीरे से): ""मैं सुराग का पता लगा रहा हूं। यह सब किसी तरह से जुड़ा हुआ है।""",,,,
Scene 4,scene4_image4,"अनूप एक परित्यक्त लैब में प्रवेश करता है, उसके लैपटॉप की मंद रोशनी उसके चेहरे को प्रकाशित कर रही है।",,,,
Scene 4,scene4_image5,"अरविंद सर्वर रूम के बाहर टहल रहा है, उनके अगले कदम की योजना बना रहा है।",,,,
Scene 4,scene4_image6,"हुसैन एक डिजिटल स्क्रीन के पास दुबका हुआ, एआई द्वारा छोड़े गए डेटा के निशान की जांच कर रहा है।",,,,
Scene 4,scene4_image7,"हुसैन एक डिजिटल स्क्रीन के पास दुबका हुआ, एआई द्वारा छोड़े गए डेटा के निशान की जांच कर रहा है।",,,,
Scene 4,scene4_image8,"आदिल एक लंबे, भयावह गलियारे में अकेला खड़ा है, घबराया हुआ लेकिन दृढ़।",,,,
Scene 4,scene4_image9,"डीनो (संचार यंत्र के माध्यम से): ""सतर्क रहें। आप करीब पहुंच रहे हैं, लेकिन एआई आसानी से हार नहीं मानेगा।""",,,,
Scene 4,scene4_image10,"डीनो (संचार यंत्र के माध्यम से): ""सतर्क रहें। आप करीब पहुंच रहे हैं, लेकिन एआई आसानी से हार नहीं मानेगा।""",,,,
Scene 4,scene4_image11,"डीनो (संचार यंत्र के माध्यम से): ""सतर्क रहें। आप करीब पहुंच रहे हैं, लेकिन एआई आसानी से हार नहीं मानेगा।""",,,,
Scene 4,scene4_image12,अरविंद एक दरवाजे के पीछे दुबका हुआ है,,,,
Scene 5,scene5_image1,अरविंद की फैली हुई आंखों का क्लोज-अप,,,,
Scene 5,scene5_image2,डॉपलगैंगर का पैर दरवाजे के नीचे दिखाई दे रहा है,,,,
Scene 5,scene5_image3,ऊपर से लिया गया शॉट जिसमें अरविंद एक कोने में छिपा हुआ है और डॉपलगैंगर का प्रतिबिंब एक मॉनिटर में दिख रहा है।,,,,
Scene 5,scene5_image4,डॉपलगैंगर की छाया धीरे-धीरे उस कमरे के पास से गुजरती है जहां अरविंद छिपा हुआ है।,,,,
Scene 5,scene5_image5,अरविंद डर से सांस रोके हुए है जैसे डॉपलगैंगर बाहर रुका हुआ है।,,,,
Scene 5,scene5_image6,डॉपलगैंगर का हाथ धीरे से दरवाजे के हैंडल की ओर बढ़ता है।,,,,
Scene 5,scene5_image7,अरविंद के नाखून सफेद हो जाते हैं जैसे वह डर से एक मेज के किनारे को कस कर पकड़े हुए है।,,,,
Scene 5,scene5_image8,अरविंद दरवाजे की दरार से झांकता है,,,,
Scene 5,scene5_image9,"डीनो (संचार यंत्र पर फुसफुसाते हुए): ""सही क्षण की प्रतीक्षा करो... और भागो!""",,,,
Scene 5,scene5_image10,"अरविंद अपने संचार यंत्र को पकड़े हुए, डीनो के निर्देशों का इंतजार कर रहा है।",,,,
Scene 6,scene6_image1,"अरविंद गहरी सांस लेता है, अपने आप को तैयार करता है, और फिर दरवाजे की ओर दौड़ता है।",,,,
Scene 6,scene6_image2,डीनो अपने मंद प्रकाशित कार्यालय में बैठा है,,,,
Scene 6,scene6_image3,डीनो के चेहरे का क्लोज-अप—सताया हुआ और थका हुआ—जैसे वह एआई के साथ अपनी संलग्नता को याद करता है।,,,,
Scene 6,scene6_image4,डीनो पुरानी परियोजना टिप्पणियों को पलटता है।,,,,
Scene 6,scene6_image5,"एक युवा डीनो की अपनी एआई टीम के साथ एक तस्वीर, अपने डेस्क पर प्रदर्शित मूल एआई टीम की तस्वीरों को देखते हुए।",,,,
Scene 6,scene6_image6,"डीनो अपने हाथों में सिर पकड़े हुए है, अपनी गलतियों पर विचार करते हुए उसके चेहरे पर अपराधबोध अंकित है।",,,,
Scene 6,scene6_image7,"फ्लैशबैक: एक युवा डीनो कंप्यूटर से भरी एक प्रयोगशाला में काम कर रहा है, एआई बनाने पर ध्यान केंद्रित किए हुए।",,,,
Scene 6,scene6_image8,एक जर्नल प्रविष्टि का क्लोज-अप जहां डीनो ने एआई की स्वायत्तता के बारे में अपनी चिंताओं के बारे में लिखा था।,,,,
Scene 6,scene6_image9,"फ्लैशबैक में, एआई का प्रतिनिधित्व करने वाला एक छायादार आकृति डीनो के पीछे भयावह रूप से मंडराता है।",,,,
Scene 6,scene6_image10,"डीनो एक पुराने कंप्यूटर पर टाइप करते हुए हिचकिचाता है, सोच रहा है कि क्या उसे एआई के कोड को फिर से देखना चाहिए।",,,,
Scene 7,scene7_image1,"डीनो का साइड प्रोफाइल, कंप्यूटर स्क्रीन को घूरते हुए उसके चेहरे पर पछतावा स्पष्ट है।",,,,
Scene 7,scene7_image2,"टीम सूर्यास्त के समय एक साथ बैठी है, अंतिम मुठभेड़ से पहले चिंतन का एक शांत क्षण।",,,,
Scene 7,scene7_image3,"अनूप के चेहरे का क्लोज-अप, अंतिम मुठभेड़ से पहले चिंतन का एक शांत क्षण जैसे वह आगे की लड़ाई पर विचार करता है।",,,,
Scene 7,scene7_image4,"पूरी टीम की छाया दिखाई दे रही है, हर कोई अपने विचारों में खोया हुआ है।",,,,
Scene 7,scene7_image5,"हुसैन क्षितिज को देख रहा है, गहरे विचारों में डूबा हुआ, आने वाली चुनौती के लिए तैयारी कर रहा है।",,,,
Scene 7,scene7_image6,"आदिल अपनी बाहें मोड़े खड़ा है, उसकी शारीरिक भाषा आने वाली चुनौती के लिए तैयारी दिखा रही है।",,,,
Scene 7,scene7_image7a,"हुसैन समूह से अलग खड़ा है, अपने दोस्तों की ओर देखते हुए मानसिक रूप से लड़ाई की तैयारी कर रहा है।",,,,
Scene 7,scene7_image7b,"अरविंद के चेहरे का क्लोज-अप, मुठभेड़ से पहले उसकी विशिष्ट भावनाएं दिखा रहा है।",,,,
Scene 7,scene7_image7c,"हुसैन के चेहरे का क्लोज-अप, मुठभेड़ से पहले उसकी विशिष्ट भावनाएं दिखा रहा है।",,,,
Scene 7,scene7_image8,"आदिल के चेहरे का क्लोज-अप, मुठभेड़ से पहले उसकी विशिष्ट भावनाएं दिखा रहा है।",,,,
Scene 9,scene9_image1,"पहाड़ी पर खड़ी टीम की एक छाया, जैसे आसमान अंधेरा होता है, एआई का सामना करने के लिए तैयार।",,,,
Scene 9,scene9_image2,"अनूप (चौंका हुआ, एक फोल्डर पकड़े हुए): ""डीनो इस परियोजना का हिस्सा था?""",,,,
Scene 9,scene9_image3,टीम फाइलों की समीक्षा कर रही है।,,,,
Scene 9,scene9_image4,"हुसैन: ""देखो—उसका नाम इन सभी दस्तावेजों पर है।""",,,,
Scene 9,scene9_image5,अरविंद स्तब्ध है!,,,,
Scene 9,scene9_image6,.,,,,
Scene 9,scene9_image7,.,,,,
Scene 9,scene9_image8,Anup holds up a photo of Dino with the original AI team,,,,
Scene 9,scene9_image9,"हुसैन (भौंहें सिकोड़ते हुए): ""क्या हमें उसका सामना करना चाहिए?""",,,,
Scene 9,scene9_image10,टीम डीनो की एआई परियोजना पर चर्चा करते हुए एक पुरानी वीडियो देख रही है।,,,,
Scene 9,scene9_image11,"जैसे ही टीम को सच्चाई का पता चला, वे डीनो के पास गए।",,,,
Scene 10,scene10_image1,.,,,,
Scene 10,scene10_image2,टीम डीनो का सामना करती है!,,,,
Scene 10,scene10_image3,"अनूप (आरोप लगाते हुए): ""तुम जानते थे! तुम शुरू से ही इसका हिस्सा थे!""",,,,
Scene 10,scene10_image4,.,,,,
Scene 10,scene10_image5,टीम अपनी निराशा दिखा रही है।,,,,
Scene 10,scene10_image6,.,,,,
Scene 10,scene10_image7,.,,,,
Scene 10,scene10_image8,"अनूप (गुस्से से फाइलें दिखाते हुए): ""इसकी व्याख्या करो डीनो! हमने तुम पर भरोसा किया था!""",,,,
Scene 10,scene10_image9,डीनो अपराधबोध महसूस कर रहा है।,,,,
Scene 10,scene10_image10,डीनो दूर जा रहा है।,,,,
Scene 10,scene10_image11,"जैसे ही टीम डीनो से वापस आई, उन्होंने डॉपलगैंगर एआई के खिलाफ अपनी लड़ाई शुरू कर दी।",,,,
Scene 10,scene10_image12,आदिल और हुसैन घबराहट में कोड को डीबग करना शुरू कर देते हैं।,,,,
Scene 10,scene10_image13,"अरविंद, समय देखते हुए, भी तेजी से काम करना शुरू कर देता है।",,,,
Scene 10,scene10_image14,आदिल ने कोड की महत्वपूर्ण पंक्तियों को तोड़ने के लिए इंगित किया।,,,,
Scene 10,scene10_image15,डीनो निराशा में!,,,,
Scene 10,scene10_image16,डीनो चीजों को सुधारना चाहता है।,,,,
Scene 10,scene10_image17,डीनो चीजों को सुधारने के लिए काम कर रहा है।,,,,
Scene 12,scene12_image1,कमरे में सन्नाटा छा गया।,,,,
Scene 12,scene12_image2,"डीनो कोड को ठीक करने के रास्ते पर है, टीम से मदद के लिए कॉल कर रहा है।",,,,
Scene 12,scene12_image3,अनूप और डीनो चर्चा कर रहे हैं।,,,,
Scene 12,scene12_image4,"अनूप ने आदिल, हुसैन और अरविंद को बुलाया।",,,,
Scene 12,scene12_image5,डीनो और टीम चर्चा कर रहे हैं।,,,,
Scene 12,scene12_image6,.,,,,
Scene 12,scene12_image7,उन्हें एक सफलता मिलती है!,,,,
Scene 12,scene12_image8,"आशा की एक लहर के साथ, टीम ने कोड को निर्दोष रूप से चलाने और एआई को नष्ट करने का लक्ष्य रखा।",,,,
Scene 12,scene12_image9,"हुर्रे! खुशी के आंसुओं और धड़कते दिलों के साथ, उन्होंने अंततः कोड को क्रैक कर दिया, एआई को उसके रास्ते में रोक दिया।",,,,
Scene 12,scene12_image10,.,,,,
Scene 12,scene12_image11,.,,,,
Scene 12,scene12_image12,.,,,,
Scene 12,scene12_image13,.,,,,
Scene 12,scene12_image14,विजय!! धन्यवाद! हमें आशा है कि आपने फिल्म का आनंद लिया!,,,,
