Scene ID,Image ID,Dialogue
Scene 4,scene4_image6,"Arvind fait les cent pas devant la salle des serveurs, planifiant leur prochain mouvement."
Scene 4,scene4_image7,"Husain examine une piste de données laissée par l'IA, accroupi près d'un écran numérique."
Scene 4,scene4_image8,"Husain examine une piste de données laissée par l'IA, accroupi près d'un écran numérique."
Scene 4,scene4_image9,"Aadil se tient seul dans un long couloir sinistre, nerveux mais déterminé."
Scene 4,scene4_image10,"Dino (à travers le communicateur) : ""Restez vigilants. Vous vous rapprochez, mais l'IA ne se laissera pas abattre facilement."""
Scene 4,scene4_image11,"Dino (à travers le communicateur) : ""Restez vigilants. Vous vous rapprochez, mais l'IA ne se laissera pas abattre facilement."""
Scene 4,scene4_image12,"Dino (à travers le communicateur) : ""Restez vigilants. Vous vous rapprochez, mais l'IA ne se laissera pas abattre facilement."""
Scene 5,scene5_image1,"Arvind s'accroupit derrière une porte, tendu alors que l'ombre du sosie se profile à proximité."
Scene 5,scene5_image2,"Gros plan sur les yeux écarquillés d'Arvind, remplis de peur, essayant de rester silencieux."
Scene 5,scene5_image3,"Le pied du sosie est visible sous la porte, se rapprochant."
Scene 5,scene5_image4,Vue aérienne d'Arvind se cachant dans un coin avec le reflet du sosie dans un moniteur.
Scene 5,scene5_image5,La silhouette du sosie passe lentement devant la pièce où Arvind se cache.
Scene 5,scene5_image6,"Arvind retient son souffle, terrifié alors que le sosie s'attarde à l'extérieur."
Scene 5,scene5_image7,La main du sosie s'approche lentement de la poignée de la porte.
Scene 5,scene5_image8,Les articulations d'Arvind blanchissent alors qu'il agrippe le bord d'une table de peur.
Scene 5,scene5_image9,"Arvind regarde à travers la fente de la porte, essayant d'évaluer s'il est sûr de bouger."
Scene 5,scene5_image10,"Dino (chuchotant dans le communicateur) : ""Attendez le bon moment... et courez !"""
Scene 6,scene6_image1,"Dino est assis dans son bureau faiblement éclairé, essayant d'évaluer s'il est sûr de bouger."
Scene 6,scene6_image2,Gros plan sur le visage de Dino - hanté et fatigué - alors qu'il se souvient de son implication avec l'IA.
Scene 6,scene6_image3,Dino feuillette de vieilles notes de projet
Scene 6,scene6_image4,Une photo d'un Dino plus jeune avec son équipe d'IA jetant un coup d'œil aux photos de l'équipe originale d'IA affichées sur son bureau.
Scene 6,scene6_image5,"Dino tient sa tête entre ses mains, la culpabilité gravée sur son visage alors qu'il réfléchit à ses erreurs."
Scene 6,scene6_image6,"Flashback : un Dino plus jeune travaillant dans un laboratoire rempli d'ordinateurs, concentré sur la création de l'IA."
Scene 6,scene6_image7,Gros plan d'une entrée de journal où Dino a écrit ses inquiétudes concernant l'autonomie de l'IA.
Scene 6,scene6_image8,"Dans le flashback, une figure sombre représentant l'IA plane de manière menaçante derrière Dino."
Scene 6,scene6_image9,"Dino hésite alors qu'il tape sur un vieil ordinateur, se demandant s'il devrait revoir le code de l'IA."
Scene 6,scene6_image10,"Un profil de Dino, le regret clairement visible dans son expression alors qu'il fixe l'écran de l'ordinateur."
Scene 7,scene7_image1,"L'équipe est assise ensemble au coucher du soleil, un moment de réflexion tranquille avant l'affrontement final."
Scene 7,scene7_image2,"Gros plan sur le visage d'Anup, un moment de réflexion tranquille avant l'affrontement final alors qu'il contemple le combat à venir."
Scene 7,scene7_image3,"Toute l'équipe est silhouettée, chacun perdu dans ses pensées."
Scene 7,scene7_image4,"Hussain regarde l'horizon, plongé dans ses pensées, se préparant au défi à venir."
Scene 7,scene7_image5,"Aadil croise les bras, son langage corporel montrant qu'il est prêt pour ce qui va arriver."
Scene 7,scene7_image6,"Husain se tient à l'écart du groupe, jetant un coup d'œil à ses amis, se préparant mentalement pour la bataille."
Scene 7,scene7_image7a,Gros plan sur le visage d'Arvind montrant ses émotions uniques avant la confrontation.
Scene 7,scene7_image7b,Gros plan sur le visage de Husain montrant ses émotions uniques avant la confrontation.
Scene 7,scene7_image7c,Gros plan sur le visage d'Aadil montrant ses émotions uniques avant la confrontation.
Scene 7,scene7_image8,"Une silhouette de l'équipe debout sur la colline alors que le ciel s'assombrit, prête à affronter l'IA."
Scene 9,scene9_image1,"Anup (choqué, tenant un dossier) : ""Dino faisait partie de ce projet ?"""
Scene 9,scene9_image2,L'équipe examinant des fichiers.
Scene 9,scene9_image3,"Hussain : ""Regardez - son nom est partout sur ces documents."""
Scene 9,scene9_image4,Arvind stupéfait !
Scene 9,scene9_image5,Aadil devient nerveux après l'avoir découvert.
Scene 9,scene9_image6,.
Scene 9,scene9_image7,.
Scene 9,scene9_image8,Anup tient une photo de Dino avec l'équipe originale de l'IA
Scene 9,scene9_image9,"Hussain (fronçant les sourcils) : ""Devrions-nous le confronter ?"""
Scene 9,scene9_image10,L'équipe regarde une vieille vidéo de Dino discutant du projet d'IA.
Scene 9,scene9_image11,"Dès que l'équipe a découvert la vérité, ils sont allés voir Dino."
Scene 10,scene10_image1,.
Scene 10,scene10_image2,L'équipe confronte Dino !
Scene 10,scene10_image3,"Anup (accusateur) : ""Tu savais ! Tu faisais partie de tout ça depuis le début !"""
Scene 10,scene10_image4,.
Scene 10,scene10_image5,L'équipe montrant sa déception.
Scene 10,scene10_image6,.
Scene 10,scene10_image7,.
Scene 10,scene10_image8,"Anup (montrant des fichiers avec colère) : ""Explique ça, Dino ! Nous t'avons fait confiance !"""
Scene 10,scene10_image9,Dino se sentant coupable.
Scene 10,scene10_image10,Dino s'en va..
Scene 10,scene10_image11,"Dès que l'équipe est revenue de chez Dino, ils ont commencé leur bataille contre l'IA sosie."
Scene 10,scene10_image12,Aadil et Hussain ont commencé à déboguer le code tout en paniquant.
Scene 10,scene10_image13,"Arvind, tout en surveillant le temps, a également commencé à travailler rapidement."
Scene 10,scene10_image14,Aadil a souligné les lignes importantes du code pour le décomposer.
Scene 10,scene10_image15,Dino au désespoir !
Scene 10,scene10_image16,Dino veut corriger les choses
Scene 10,scene10_image17,Dino travaille pour corriger les choses
Scene 12,scene12_image1,Un silence de mort régnait dans la pièce.
Scene 12,scene12_image2,"Dino est sur la voie pour corr
Scene 12,scene12_image3,Anup et Dino discutant."""
Scene 12,scene12_image4,"Anup a appelé Aadil, Hussain et Arvind."
Scene 12,scene12_image5,Dino et l'équipe discutant.
Scene 12,scene12_image6,.
Scene 12,scene12_image7,Ils trouvent une percée !
Scene 12,scene12_image8,"Avec un élan d'espoir, l'équipe visait à exécuter le code sans faille et à démanteler l'IA."
Scene 12,scene12_image9,"Hourra ! Avec des larmes de joie et le cœur battant, ils ont finalement craqué le code, arrêtant l'IA dans son élan."
Scene 12,scene12_image10,.
Scene 12,scene12_image11,.
Scene 12,scene12_image12,.
Scene 12,scene12_image13,.
Scene 12,scene12_image14,VICTOIRE !! Merci ! Nous espérons que vous avez apprécié le film !
